序号,招聘主题,雇主类型
503,导航规划算法工程师/电机控制算法工程师/机器人算法工程师/机械臂规划工程师/图像算法工程师/运动控制算法工程师/AI算法工程师/Slam算法工程师/人机交互（HRI）系统设计师/音频算法工程师/语音信号处理/语音识别算法工程师/系统工程师/硬件工程师/电机控制工程师/AIot工程师/FPGA工程师/上位机硬件工程师/下位机硬件工程师/机械工程师/结构工程师/项目经理/产品经理/解决方案工程师/Web/Golang/Andriod/C++开发工程师/机器人软件开发工程师/仿真开发工程师/软件测试工程师/硬件测试工程师/自动化测试工程师/运营策略/运营支持/产品应用工程师/产品质量工程师/PMC工程师/采购工程师/国际物流管理/仓储管理/招聘管理/培训管理/企业文化/公共事务/财务/海外销售（英/日/俄/韩/法/西/德/意/葡/阿/荷兰语） /海外技术运营（英/日/俄/韩/法/西/德/意/葡/阿/荷兰语）,互联网科技企业
504,研发类/技术支持类/生产制造类/销售市场类等,专业技术服务企业
505,大宗商品业务员/研究员（行业）/财务核算/物流管理/法务内控/Java开发,其他类型企业
506,综合管理岗/博士后研究人员/信息安全岗/系统研发岗/党群工作部（人力资源部）-人力资源岗等,金融企业
508,民航类/计算机类/电气/自动化类/土建类/安全类/能源动力类/经营/管理类/行政/文秘类/财务类/电子/通信类/法律类/医学类/生物学类/设计学类,其他类型企业
509,建筑工程师/工程造价师/人力资源管理,工业科技企业
510,雷达电子战仿真工程师/通信仿真工程师/光电和红外仿真工程师/C++研发工程师/CAE仿真工程师/飞行仿真建模工程师/技术支持工程师（电磁方向、通信和网络方向）/销售工程师,互联网科技企业
511,算法工程师/软件开发工程师,互联网科技企业
512,C ++开发工程师/数据分析工程师/FPGA,互联网科技企业
513,软件工程师/上位机软件工程师/硬件工程师/结构工程师/产品工程师,工业科技企业
514,总行管培生/西安城区柜员/西安郊县柜员/地市城区柜员/地市县域柜员,金融企业
516,后端/前端/测试/数据/开发工程师,工业科技企业
517,FPGA工程师/硬件工程师/嵌入式软件工程师/DSP工程师/算法工程师/雷达信号处理工程师,互联网科技企业
518,c++开发/Java开发,互联网科技企业
519,智能驾驶系统工程师/VCU软件工程师/整车研发工程师/发动机研发工程师/功能安全工程师/见习业务经理/工艺工程师/人力资源专员,工业科技企业
521,软件开发工程师＼硬件开发工程师＼嵌入式软件工程师＼算法工程师,工业科技企业
522,2022年江苏省启东市公开选调优秀青年人才(事业编),其他类型企业
523,后备人才岗,金融企业
524,综合管理/投资管理/委托贷款/风险管理/税务/法律/运营管理/内部审计/信息技术/人力资源管理等,教育单位类
525,软件开发工程师/测试工程师,金融企业
526,电源工程师/滤波器工程师/测试工程师/质检员/销售,互联网科技企业
527,电气工程师/自动化工程师/机械工程师/工艺工程师/工程管理,专业技术服务企业
528,研发助理工程师/测试助理工程师/质检员/销售,互联网科技企业
530,国网全球能源互联网研究院直流输电技术研究所2022年度校园招聘,研究机构
531,总公司/分公司管理培训生,金融企业
532,器件设计工程师/DRAM Designer/模拟电路 IC 设计工程师,互联网科技企业
533,管理培训生/非管理培训生,专业技术服务企业
535,机械设计工程师 /产品可靠性工程师 /产品测试工程师 /电气工程师,生活类企业
536,普通员工\计算机专业员工,其他类型企业
537,教授/研究员/博士后等,教育单位类
538,未来总裁岗 /研发岗/ 信息技术岗 /市场岗 /电商运营岗 /营销管理岗 /市场岗 /人力资源岗 /财务岗 /生产制造岗 /品质管理岗 / 电商运营岗 /营销管理岗 /生产制造岗 /品质管理岗,生活类企业
539,中国科学院空天信息创新研究院教育处,研究机构
540,算法工程师/电子研发工程师/机器视觉应用工程师/C++开发工程师/系统集成技术工程师,互联网科技企业
542,电气工程师/研发工程师/工艺工程师,互联网科技企业
543,模拟芯片设计工程师/数字电路验证工程师/版图设计工程师/器件工程师,互联网科技企业
544,研发管培生/职能管培生/业务管培生,互联网科技企业
545,零售管培生,互联网科技企业
546,Java 开发工程师/前端开发工程师/测试工程师,互联网科技企业
547,助理软件工程师 /助理电机工程师/ 生产储备干部/ PIE助理工程师 /ME助理工程师等,工业科技企业
548,软件平台及解决方案/电子系统方向/数字化体验平台方向/数据工场与网络安全方向/人力资源管理培训生,互联网科技企业
549,通信设计师/建筑设计师/暖通设计师/结构设计师/建筑电气设计师/建筑工程咨询师/软件工程师/大数据分析师/信息安全工程师/信息化咨询师/智能化设计师/培训专员/招标代理工程师/管理培训生,研究机构
550,产品设计工程师/电机设计工程师/电机工艺工程师/电机测试工程师/仿真测试工程师/仿真切割工程师/软件设计工程师/硬件加工工程师/机加工艺工程师/装配工艺工程师/研发质量工程师/市场质量工程师/质量工程师（IPQC）/计量工程师/理化工程师/采购工程师/计划师/物控员/制造储备干部/装配储备干部/工务储备干部/软件开发工程师（C+ +方向）,工业科技企业
552,农资营销（技术）岗/财务会计岗/人力资源 管理岗,其他类型企业
553,财务审计类/人事行政类/投资分析类/营销业务类/工程管理类,金融企业
554,C++/QT开发工程师,互联网科技企业
555,人工智能领域开发工程师,研究机构
557,网点柜员,其他类型企业
558,技术类/营销类/运营类,互联网科技企业
559,版图工程师 /氮化镓器件工程师 /碳化硅器件工程师 /工艺工程师 /设备工程师/ IE工程师 /供应商管理 /品质制程工程师 /CS工程师 /失效分析工程师 /安全工程师 /水处理系统工程师 /气化系统工程师 /水处理系统工程师 /商务专员 /采购专员,互联网科技企业
561,技术类/支持类/市销类,医疗科技企业
562,毒理专题负责人/病理专题负责人/药理专题负责人/分析专题负责人/分析方法开发专题负责人,医疗科技企业
565,模拟IC设计工程师/射频电路设计工程师/RFIC设计工程师,互联网科技企业
566,党群干事/技术工程师/工程类工程师/人力行政专员/机加工艺工程师/客户经理/客户销售等,其他类型企业
567,助理信息技术工程师/助理互联网金融开发工程师/助理互联网金融开发工程师,金融企业
568,研发/产品/运营/市场/设计,互联网科技企业
569,产品经理/商务经理/大客户经理,互联网科技企业
570,【空中双选】 电子科技大学2021年暖冬专场空中双选会学生邀请函,互联网科技企业
571,海外市场营销管培生,互联网科技企业
572,科曼医疗22届营销精英,医疗科技企业
573,硬件测试工程师/微波工程师/射频工程师/软件开发工程师/认证工程师/嵌入式软件工程师/结构测试工程师/工艺设计工程师/单板开发工程师/夹具设计工程师/器件设计工程师/版图设计工程师/中道工艺工程师/压铸工程师/模具设计工程师/结构件工艺工程师/机械技术工程师/电镀工艺工程师,互联网科技企业
574,运维专工/工程造价,高新技术企业
575,海豚生—管培生,生活类企业
576,投行业务岗/研究员/销售经理/储备干部/交易员,金融企业
577,战略管理类,金融企业
578,营销管理类/研发技术类/职能管理类/智能制造类,工业科技企业
580,JAVA开发工程师/C++开发工程师/前端开发工程师/测试工程师/技术支持工程师/产品经理/人力专员/财务专员,互联网科技企业
581,省联社本部人才/信息科技中心人才,其他类型企业
582,人力资源/专利工程师/外贸销售 /国内销售/ 跨境电商运营/ 软件工程师/ 硬件工程师等,互联网科技企业
583,软件开发类 /硬件开发类 /网络安全技术研究类/密码研究类/产品测试类/人力资源/财务管理/成本管理/物资采购类,研究机构
584,分行营销精英培训生/金融科技类,金融企业
585,人工智能/计算机类/车辆工程/ 机械/ 电机与电器/ 电力系统/电子/ 自动化/热能与动力工程/供应链/统计学/密码学/营销/管理/语言,生活类企业
586,硬件设计工程师/软件工程师（上位机方向）/FPGA开发方向/深度学习工程师/机械设计工程师,互联网科技企业
587,研发工程师/运营及销售类管培生/财务类管培生/人事行政及后台管理类管培生/技术支持工程师,其他类型企业
588,游戏策划管培生,互联网科技企业
589,研发工程师 /质量工程师 /工艺工程师 /采购工程师 /电镀工艺工程师,互联网科技企业
590,初高中数学教师,教育单位类
592,质量工程师,互联网科技企业
594,CoE 开发工程师,其他类型企业
595,制程工程师/软件开发工程师/光罩数据处理工程师,工业科技企业
596,模拟IC设计工程师,互联网科技企业
597,航运经营管培生/航运技术管培生/财务方向管培生/数字化方向管培生/资本运营方向管培生/综合法律方向管培生/人力资源方向管培生/党建管理方向管培生/文秘方向管培生,其他类型企业
598,助理工程师/装配工艺工程师/采购工程师/质量工程师,工业科技企业
