招聘主题,用人单位,发布日期,浏览次数
QT开发工程师,深圳市安保科技有限公司,2021-12-13,59
运营推广,广州敏视数码科技有限公司,2021-12-13,60
嵌入式Linux软件工程师,广州敏视数码科技有限公司,2021-12-13,59
图像算法工程师-深度学习方向,广州敏视数码科技有限公司,2021-12-13,61
嵌入式图像算法工程师,广州敏视数码科技有限公司,2021-12-13,82
软件测试工程师,广州敏视数码科技有限公司,2021-12-13,59
教务专员（数据分析、网络应用与管理方向）,西安西补教育培训学校有限责任公司,2021-12-13,58
管培生（供应链方向）,广州敏视数码科技有限公司,2021-12-13,57
管培生（生产管理方向）,广州敏视数码科技有限公司,2021-12-13,60
技术研发人员,福建（泉州）哈工大工程技术研究院,2021-12-13,53
品牌设计专员,广州敏视数码科技有限公司,2021-12-13,55
黄河科技学院招聘公告2021年黄河科技学院博士招聘公告,北京磐石活水信息科技有限公司,2021-12-11,60
智能化研究岗,爱玛科技集团股份有限公司,2021-12-10,72
工艺工程师,苏州臻芯微电子有限公司,2021-12-10,85
中科院微电子所低功耗智能芯片与系统团队多岗位招聘,中国科学院微电子研究所,2021-12-10,76
责任工程师,中建八局第四建设有限公司,2021-12-10,65
工艺整合工程师,苏州臻芯微电子有限公司,2021-12-10,68
设备工程师,苏州臻芯微电子有限公司,2021-12-10,69
生产工程师,苏州臻芯微电子有限公司,2021-12-10,69
小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,90
小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,75
软件开发,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,66
小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,85
小米集团2022全球校园招聘-热招岗位,小米科技有限责任公司,2021-12-10,70
光缆通信技术研发,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,64
网络智能应用运营工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,69
终端测试等孵化业务,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,62
数据分析工程师,广州文远知行科技有限公司,2021-12-10,79
超潜管培生（证券研究方向）,锐方（上海）私募基金管理有限公司,2021-12-10,55
电磁兼容检测,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,63
电源检测,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,62
配电工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,60
智能化工程售前工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,65
云网解决方案,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,63
电子工程师,中讯邮电咨询设计院有限公司郑州分公司,2021-12-10,69
专业技术工程师,青岛海尔特种电冰柜有限公司,2021-12-10,62
软件工程师,浙江正元智慧科技股份有限公司,2021-12-10,53
大数据工程师,浙江正元智慧科技股份有限公司,2021-12-10,52
产品助理,浙江正元智慧科技股份有限公司,2021-12-10,62
技术支持工程师,浙江正元智慧科技股份有限公司,2021-12-10,53
测试开发工程师,广州文远知行科技有限公司,2021-12-10,54
软件开发工程师-操作系统开发工程师,广州文远知行科技有限公司,2021-12-10,58
信息化工程师,中建路桥集团有限公司,2021-12-09,95
电子/电器工艺/制程工程师,阳信长威电子有限公司,2021-12-09,61
产品设计类,阳信长威电子有限公司,2021-12-09,66
客户服务工程师,阳信长威电子有限公司,2021-12-09,62
研发设计员,武汉航空仪表有限责任公司,2021-12-09,95
投融资项目经理；法务经理；行政经理,深圳市中小微企业投资管理有限公司,2021-12-09,64
品质管理工程师,阳信长威电子有限公司,2021-12-09,67
供应商管理专员,阳信长威电子有限公司,2021-12-09,62
信息自动化,阳信长威电子有限公司,2021-12-09,65
软件开发工程师,阳信长威电子有限公司,2021-12-09,62
电子工程师,阳信长威电子有限公司,2021-12-09,62
机械设备工程师,阳信长威电子有限公司,2021-12-09,67
环境安全工程师,阳信长威电子有限公司,2021-12-09,60
电气工程师,宁波天波港联电子有限公司,2021-12-09,58
生产培训生,内蒙古伊利实业集团股份有限公司郑州第一分公司,2021-12-09,64
机械工程师,宁波天波港联电子有限公司,2021-12-09,56
工艺工程师,宁波天波港联电子有限公司,2021-12-09,56
研发设计工程师,宁波天波港联电子有限公司,2021-12-09,54
税务助理,山东百丞税务服务股份有限公司,2021-12-09,85
集控运行/检修,芜湖发电有限责任公司,2021-12-09,43
工程师,西安公路研究院南京院,2021-12-08,65
软件工程师,紫光数码（苏州）集团有限公司,2021-12-08,76
